epoch,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,x/lr0,x/lr1,x/lr2
144,0.012825,0.010902,0.005028,0.0041473,0.00042947,0.00071195,0.95013,0.96325,0.96849,0.73356,0.005281,0.005281,0.005281
145,0.01286,0.010559,0.0049327,0.0042088,0.00047609,0.00076818,0.95958,0.95901,0.96493,0.74073,0.005248,0.005248,0.005248
146,0.012692,0.010392,0.0051221,0.0040763,0.00046431,0.00066084,0.94713,0.96603,0.96604,0.74092,0.005215,0.005215,0.005215
147,0.012758,0.010599,0.0050886,0.0042495,0.00043994,0.00074274,0.95691,0.95879,0.96547,0.74172,0.005182,0.005182,0.005182
148,0.012269,0.010445,0.0050091,0.0041186,0.00044505,0.00067747,0.95023,0.96417,0.96478,0.74362,0.005149,0.005149,0.005149
149,0.012463,0.010608,0.0050061,0.0040945,0.00042554,0.00060774,0.95624,0.95893,0.96496,0.74662,0.005116,0.005116,0.005116
150,0.012268,0.01068,0.0048061,0.0040893,0.00043125,0.00065133,0.95761,0.95589,0.96762,0.7466,0.005083,0.005083,0.005083
151,0.012231,0.01058,0.0048841,0.0040759,0.00039609,0.00061713,0.94911,0.96403,0.97059,0.74667,0.00505,0.00505,0.00505
152,0.012041,0.010621,0.0049259,0.0042068,0.00043025,0.00067837,0.94954,0.96008,0.96361,0.73861,0.005017,0.005017,0.005017
153,0.012362,0.010633,0.0049671,0.0041826,0.00043454,0.0006159,0.95081,0.96136,0.96528,0.74522,0.004984,0.004984,0.004984
154,0.012226,0.010621,0.0048556,0.0041856,0.00041878,0.00063206,0.95374,0.95863,0.9645,0.74492,0.004951,0.004951,0.004951
155,0.012318,0.010573,0.0048211,0.0041489,0.0004216,0.00064109,0.95754,0.95494,0.96618,0.74394,0.004918,0.004918,0.004918
156,0.012011,0.010336,0.0048755,0.0041632,0.00038532,0.00072051,0.95552,0.96148,0.96804,0.74935,0.004885,0.004885,0.004885
157,0.012032,0.010395,0.0047966,0.0041217,0.00040215,0.00065326,0.95495,0.96451,0.96778,0.74785,0.004852,0.004852,0.004852
158,0.011953,0.010458,0.0050023,0.0042632,0.00042631,0.00077797,0.9546,0.96075,0.96768,0.75326,0.004819,0.004819,0.004819
159,0.012202,0.010469,0.0048376,0.0042034,0.00041194,0.00075164,0.954,0.96148,0.96716,0.75318,0.004786,0.004786,0.004786
160,0.01202,0.01037,0.0048738,0.0040644,0.00041629,0.00071021,0.96107,0.95996,0.96888,0.74731,0.004753,0.004753,0.004753
161,0.011792,0.010445,0.0050017,0.0041496,0.00037701,0.00073434,0.96184,0.95719,0.96969,0.75007,0.00472,0.00472,0.00472
162,0.011909,0.010388,0.0047625,0.00423,0.00041963,0.00075399,0.9627,0.95969,0.96966,0.74826,0.004687,0.004687,0.004687
163,0.011681,0.01031,0.0048692,0.0042834,0.00041458,0.00070817,0.95806,0.9616,0.96832,0.74739,0.004654,0.004654,0.004654
164,0.011774,0.0103,0.0048014,0.0042304,0.00038733,0.00070616,0.96283,0.96152,0.96924,0.74361,0.004621,0.004621,0.004621
165,0.011516,0.010312,0.0046583,0.0041941,0.00036618,0.00068717,0.96045,0.96384,0.96772,0.74614,0.004588,0.004588,0.004588
166,0.011573,0.010367,0.0047714,0.0042155,0.00041038,0.00072368,0.96009,0.96577,0.96955,0.75466,0.004555,0.004555,0.004555
167,0.011545,0.010634,0.0047053,0.0042201,0.0003735,0.00073936,0.95887,0.96338,0.96636,0.7468,0.004522,0.004522,0.004522
168,0.011521,0.010282,0.0047924,0.0041767,0.00038782,0.00064513,0.96013,0.96345,0.96696,0.74465,0.004489,0.004489,0.004489
169,0.011202,0.010143,0.0046688,0.0041577,0.00035786,0.00065417,0.96275,0.96288,0.96503,0.75237,0.004456,0.004456,0.004456
