,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,,x/lr0,x/lr1,x/lr2
73,0.015019,0.012737,0.0058913,0.0039497,0.00062424,0.0014809,0.94397,0.96252,0.97171,0.73381,,0.007624,0.007624,0.007624
74,0.014836,0.012721,0.0058414,0.0038223,0.00059176,0.00071147,0.96951,0.95859,0.9773,0.72647,,0.007591,0.007591,0.007591
75,0.014782,0.012638,0.0058629,0.0037844,0.00059174,0.00069514,0.95009,0.97285,0.9773,0.71876,,0.007558,0.007558,0.007558
76,0.014977,0.012706,0.005691,0.0039864,0.0006126,0.00080839,0.95031,0.96616,0.97303,0.72393,,0.007525,0.007525,0.007525
77,0.01487,0.012427,0.005741,0.0038856,0.00058762,0.0010401,0.9621,0.96073,0.97743,0.72902,,0.007492,0.007492,0.007492
78,0.014652,0.012568,0.005679,0.0038825,0.00062299,0.0013246,0.95319,0.96618,0.97159,0.73695,,0.007459,0.007459,0.007459
79,0.014637,0.012518,0.0056766,0.003904,0.00059809,0.00077966,0.96931,0.95657,0.97394,0.73421,,0.007426,0.007426,0.007426
80,0.014458,0.012214,0.0055523,0.003875,0.00059923,0.00061696,0.96847,0.95947,0.97483,0.73526,,0.007393,0.007393,0.007393
81,0.014375,0.012384,0.0057076,0.0038093,0.00056382,0.00063377,0.95884,0.96806,0.97774,0.73322,,0.00736,0.00736,0.00736
82,0.014256,0.012216,0.0056019,0.0037519,0.00058107,0.00068139,0.95944,0.96879,0.97376,0.73086,,0.007327,0.007327,0.007327
83,0.014472,0.012268,0.0056242,0.0037214,0.00058415,0.00074037,0.96074,0.96767,0.97934,0.7323,,0.007294,0.007294,0.007294
84,0.014392,0.012376,0.0056318,0.0037702,0.00057565,0.000798,0.95024,0.96157,0.96967,0.71622,,0.007261,0.007261,0.007261
85,0.014026,0.012463,0.0055803,0.0039811,0.0005407,0.00084642,0.95679,0.96856,0.97351,0.73125,,0.007228,0.007228,0.007228
86,0.013894,0.012052,0.0055437,0.0038974,0.00052983,0.00078222,0.95217,0.96909,0.97293,0.72532,,0.007195,0.007195,0.007195
87,0.014375,0.012144,0.0054624,0.003791,0.0005711,0.00069819,0.95936,0.97074,0.97672,0.73288,,0.007162,0.007162,0.007162
88,0.013734,0.011879,0.0055376,0.0037904,0.00058226,0.00095003,0.96109,0.95872,0.97194,0.74471,,0.007129,0.007129,0.007129
89,0.013606,0.012259,0.0054198,0.0037785,0.00051178,0.00083529,0.96075,0.97123,0.97948,0.73217,,0.007096,0.007096,0.007096
90,0.013988,0.012398,0.0054557,0.0038175,0.00056878,0.0011223,0.95908,0.95942,0.9747,0.72984,,0.007063,0.007063,0.007063
91,0.014024,0.012487,0.0054619,0.0037358,0.00054252,0.00074759,0.95897,0.96254,0.9745,0.73439,,0.00703,0.00703,0.00703
92,0.014122,0.012085,0.0055141,0.0039178,0.00054441,0.00063884,0.95058,0.96987,0.97805,0.72194,,0.006997,0.006997,0.006997
