               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.015649,           0.0069139,          0.00068379,             0.95691,             0.94858,             0.96603,             0.68236,            0.012433,           0.0042999,          0.00064961,            0.008053,            0.008053,            0.008053
                  61,            0.015341,            0.006705,          0.00064634,             0.95835,             0.93932,             0.96524,              0.6899,            0.012194,           0.0044009,           0.0006633,             0.00802,             0.00802,             0.00802
                  62,            0.015327,           0.0069055,          0.00071666,             0.95721,             0.95702,             0.96383,             0.69303,            0.011661,           0.0042942,           0.0007127,            0.007987,            0.007987,            0.007987
                  63,            0.015522,           0.0066238,          0.00065154,             0.93852,             0.96298,             0.96289,             0.68401,            0.012308,            0.004503,          0.00074147,            0.007954,            0.007954,            0.007954
                  64,            0.015268,           0.0065962,          0.00063817,             0.93751,             0.96411,             0.96311,              0.6955,            0.012279,            0.004316,          0.00070963,            0.007921,            0.007921,            0.007921
                  65,            0.015536,           0.0067709,          0.00063437,             0.93162,             0.95874,             0.96425,             0.70509,            0.012088,            0.004329,          0.00068379,            0.007888,            0.007888,            0.007888
                  66,            0.015341,           0.0067842,          0.00063901,              0.9576,             0.95638,             0.96643,             0.69631,            0.012407,            0.004468,          0.00067988,            0.007855,            0.007855,            0.007855
                  67,            0.015435,            0.006717,          0.00066163,             0.94623,             0.95984,             0.96386,             0.70023,            0.012053,           0.0043208,          0.00072396,            0.007822,            0.007822,            0.007822
                  68,            0.015348,             0.00665,          0.00069939,             0.95717,             0.94505,               0.963,             0.70097,            0.012221,           0.0046998,          0.00064909,            0.007789,            0.007789,            0.007789
                  69,            0.015458,           0.0067545,          0.00066288,             0.96167,             0.93787,             0.96441,             0.69738,            0.011889,           0.0044474,          0.00065238,            0.007756,            0.007756,            0.007756
                  70,            0.014811,           0.0065502,           0.0006284,             0.95879,             0.95177,             0.96466,             0.69952,            0.012378,           0.0044321,          0.00071309,            0.007723,            0.007723,            0.007723
                  71,            0.015046,           0.0067718,          0.00059328,             0.95634,             0.96028,             0.96824,             0.70362,            0.011963,           0.0043854,          0.00069886,             0.00769,             0.00769,             0.00769
                  72,            0.014834,           0.0067751,          0.00067846,             0.95091,             0.95864,             0.96139,             0.70638,            0.011676,           0.0043428,           0.0007112,            0.007657,            0.007657,            0.007657
                  73,            0.015209,           0.0067782,          0.00063325,             0.94854,             0.94891,             0.95544,             0.69242,            0.012171,           0.0043412,          0.00064711,            0.007624,            0.007624,            0.007624
                  74,            0.014543,           0.0066101,          0.00059749,             0.94768,               0.949,             0.95387,             0.70241,            0.011923,           0.0043774,          0.00065149,            0.007591,            0.007591,            0.007591
                  75,            0.014778,           0.0065981,          0.00060192,             0.95833,             0.95098,             0.95851,             0.70706,            0.011816,           0.0043254,          0.00062689,            0.007558,            0.007558,            0.007558
                  76,            0.014787,           0.0064282,          0.00060586,             0.94982,             0.95374,             0.96166,             0.69891,            0.011796,           0.0042564,          0.00061817,            0.007525,            0.007525,            0.007525
                  77,            0.014758,           0.0064484,          0.00066011,              0.9451,             0.94608,             0.95888,             0.70764,            0.012146,           0.0044359,          0.00067911,            0.007492,            0.007492,            0.007492
                  78,            0.014224,           0.0062862,          0.00059166,             0.96038,             0.95397,             0.96298,             0.69397,            0.011721,           0.0042522,          0.00063767,            0.007459,            0.007459,            0.007459
                  79,            0.014744,           0.0063492,           0.0006197,             0.94737,             0.95617,             0.96149,              0.7004,            0.012084,           0.0042534,          0.00070815,            0.007426,            0.007426,            0.007426
                  80,            0.014451,           0.0065005,          0.00060405,             0.95534,             0.94706,             0.96054,             0.71167,            0.011825,           0.0042897,          0.00074327,            0.007393,            0.007393,            0.007393
                  81,             0.01454,           0.0064928,          0.00057597,             0.94089,             0.95504,             0.96201,              0.6961,            0.012065,           0.0042033,          0.00066018,             0.00736,             0.00736,             0.00736
                  82,            0.013939,           0.0062314,          0.00060349,             0.95322,             0.94481,             0.96298,             0.71416,            0.011513,           0.0042685,          0.00067011,            0.007327,            0.007327,            0.007327
                  83,            0.014293,           0.0061468,          0.00054292,             0.95443,             0.95715,             0.96944,             0.70212,            0.011505,           0.0041004,          0.00062179,            0.007294,            0.007294,            0.007294
                  84,            0.014101,           0.0064479,          0.00057889,             0.95743,             0.95386,             0.96266,             0.70088,            0.011642,           0.0042491,          0.00061961,            0.007261,            0.007261,            0.007261
                  85,            0.013823,           0.0062772,          0.00055401,             0.93663,             0.96641,             0.95975,             0.70436,            0.011771,           0.0042258,          0.00059843,            0.007228,            0.007228,            0.007228
                  86,            0.014267,           0.0064285,          0.00059691,             0.95662,             0.96126,             0.96436,             0.70925,            0.011528,           0.0041759,          0.00060541,            0.007195,            0.007195,            0.007195
                  87,            0.013925,            0.006164,          0.00057552,             0.96282,             0.95524,             0.96478,             0.71982,            0.011597,           0.0040453,          0.00062138,            0.007162,            0.007162,            0.007162
                  88,            0.013681,           0.0063671,          0.00054797,             0.95979,             0.95601,             0.96931,             0.71453,            0.011258,           0.0040492,          0.00056826,            0.007129,            0.007129,            0.007129
